Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a6fc13c7a82d569ce3c638f31cf9afa9e645c7a74e10a60832e0842cdc9df648,2022-05,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
b3687e5c709dc8c3d36d407b10b354a01555e77354c697b0284a86473cca1deb,2022-05,Gwent Police,Gwent Police,-3.034979,51.712914,On or near TENISON ROAD,W01001525,Torfaen 003A,Unable to prosecute suspect
b456f36d38dd5ae37f630e7dd23704349ca154b71e61f76796ea5ef825c1194d,2022-05,Gwent Police,Gwent Police,-3.140448,51.704043,On or near BRYN TERRACE,W01001466,Blaenau Gwent 009C,Unable to prosecute suspect
0a67b798c026c4b3d26eef9275a8732b688f9b106c8345508734032603492208,2022-05,Gwent Police,Gwent Police,-3.034500,51.648107,On or near FARLOW WALK,W01001528,Torfaen 010D,Investigation complete; no suspect identified
7fbbb913f82a9dd1f6d17b9f594c56d8ad9c913f645703ec4a7c7a2ac0eee0d4,2022-05,Gwent Police,Gwent Police,-3.263216,51.785239,On or near LAKESIDE CLOSE,W01001474,Blaenau Gwent 003C,Investigation complete; no suspect identified
ca5ac16e9b5c61fe13e99530fcab68e5908633a0137d0a0a86c2ccd959e66cae,2022-05,Gwent Police,Gwent Police,-2.992119,51.591017,On or near Supermarket,W01001676,Newport 007B,Investigation complete; no suspect identified
17933e9aa6669528f6956a44ad55eed7f8297f1e0e2292e76ccba67aba2b02f5,2022-05,Gwent Police,Gwent Police,-3.031388,51.637731,On or near HOLLYBUSH VIEW,W01001534,Torfaen 012C,Investigation complete; no suspect identified
75efe7618e8ad414e7efcd9e5911adb8c928e661aaf08b13834ded81bea6dc1e,2022-05,Gwent Police,Gwent Police,-2.749876,51.591628,On or near Police Station,W01001589,Monmouthshire 010E,Investigation complete; no suspect identified
55adea28a030666145ad503f7a4b4ae8fc1169732d52de4ee270de921658c5a9,2022-05,Gwent Police,Gwent Police,-3.019266,51.588177,On or near RIDGEWAY PARK ROAD,W01001602,Newport 012B,Investigation complete; no suspect identified
0d69e17fb00ff4ac25977ecc087f5c6cdbd76a6cc5ada32f007ee39179162f64,2022-05,Gwent Police,Gwent Police,-2.944981,51.579564,On or near SPYTTY ROAD,W01001646,Newport 015E,Investigation complete; no suspect identified
e7276ef944abaa5f18a330924384d0d6b6b875a707d044a32992fa4cbad27001,2022-05,Gwent Police,Gwent Police,-3.012787,51.833808,On or near LLWYNU LANE,W01001558,Monmouthshire 002C,Investigation complete; no suspect identified
f0db213b04fd327bafa031128602326dcda805eac7e5aec39e86ade7e52f6f2b,2022-05,Gwent Police,Gwent Police,-3.011850,51.659733,On or near THE WILLOWS,W01001493,Torfaen 008A,Investigation complete; no suspect identified
bfeab142f5b471f4000ab67a890f253aab6b713f4df1e01cf984ef4915e84586,2022-05,Gwent Police,Gwent Police,-3.231651,51.715881,On or near QUEEN'S ROAD,W01001385,Caerphilly 002D,Investigation complete; no suspect identified
8e64bd9c9db8b13f2137475c0a734927f66657c699adca5386d46240dc3f6ca9,2022-05,Gwent Police,Gwent Police,-3.247074,51.773471,On or near Parking Area,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
5b63887f84cde856c688a0cf31a8d56edacd7595b885662be0c8b7953e6c8022,2022-05,Gwent Police,Gwent Police,-3.006207,51.609914,On or near MALPAS ROAD,W01001654,Newport 002D,Investigation complete; no suspect identified
96bbf0d01457edbcb6714c457854b8d3e4fba7b5c2a55548094ba4613a9185dc,2022-05,Gwent Police,Gwent Police,-3.244448,51.781268,On or near Petrol Station,W01001475,Blaenau Gwent 003D,Investigation complete; no suspect identified
d7cb8f167f968e6dafd956e0cc06b27985ab5bd1dc58296888fbad95d62c2a4a,2022-05,Gwent Police,Gwent Police,-3.040125,51.645054,On or near WINDSOR ROAD,W01001526,Torfaen 010B,Investigation complete; no suspect identified
cddefcab3b00608a61fa8d0bbdcbaec4223f9fc97c02a7af55e2971c29a85940,2022-05,Gwent Police,Gwent Police,-3.090708,51.610085,On or near Parking Area,W01001410,Caerphilly 016D,Investigation complete; no suspect identified
1efc17880f5eab48e5a4234bbd114c6419426de9b1957386bd91ea328b3185d5,2022-05,Gwent Police,Gwent Police,-3.247624,51.696147,On or near GROES-FAEN TERRACE,W01001360,Caerphilly 002A,Investigation complete; no suspect identified
0137c4c8ef4d66562bcef397b9a73f40f26bd5fe7cdab09b8af17d919559cc27,2022-05,Gwent Police,Gwent Police,-3.238741,51.722154,On or near JONES STREET,W01001386,Caerphilly 002E,Investigation complete; no suspect identified
bdfab3fd20903c1e131bd5b19f7aafae606f715d39c1c22a9421e4f0a6052ffa,2022-05,Gwent Police,Gwent Police,-3.173653,51.790403,On or near WESLEY BUILDINGS,W01001467,Blaenau Gwent 005D,Investigation complete; no suspect identified
82aa82d9934bd4a5729a9b29f2fb778b2caf98165d774011d5de31147c1cf026,2022-05,Gwent Police,Gwent Police,-2.944293,51.583274,On or near SPYTTY ROAD,W01001609,Newport 015B,Investigation complete; no suspect identified
f236a860a269e78b89711922926c833ab637451d4a806232d8bb6609c89d1d93,2022-05,Gwent Police,Gwent Police,-3.135549,51.671388,On or near STONERWOOD VIEW,W01001381,Caerphilly 010B,Investigation complete; no suspect identified
