Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e7f1f67f2a10e521e66358a578d9436b338897a8cc4486ac99192857a494a5f4,2022-07,Gwent Police,Gwent Police,-3.001125,51.648711,On or near TWM BARLWM VIEW,W01001507,Torfaen 008D,Local resolution
f82caecc5c8211d4857e9517b6779ef239090d9fc494b69d40ea32126d6b9c32,2022-07,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
ef640a99e3ae1ecc4e272a40f893d36613b338e4ae2282ab88f29ed3c07fd676,2022-07,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
525bc1cd520336ff0af7f415e91672a05267b0dc4e8b17aa3bdf553cddc209e3,2022-07,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
919c566a00f2da4ec0f70527beac44c9f33ec9381f2a9bf8094cff3025696d4b,2022-07,Gwent Police,Gwent Police,-3.228960,51.689231,On or near HANBURY ROAD,W01001338,Caerphilly 004C,Investigation complete; no suspect identified
156a546d6cf46883ac74460ce908fde3c409642e3e6abfbc6acd49ac399bd405,2022-07,Gwent Police,Gwent Police,-3.098965,51.606951,On or near STATION ROAD,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
133a057eb1a280ac540a0ef2aaa0e52e147842bc034c956cdff5df0bb459e42c,2022-07,Gwent Police,Gwent Police,-3.020606,51.824668,On or near Supermarket,W01001579,Monmouthshire 001E,Investigation complete; no suspect identified
f46ca1c12bf537a8e620bacf6b2eee13fcfbf4c2ccfd7a37c439563e91de5669,2022-07,Gwent Police,Gwent Police,-2.717589,51.805949,On or near Petrol Station,W01001577,Monmouthshire 004E,Investigation complete; no suspect identified
4654001960489eed2fba1f16104f08588ee2a7072eb56126ccce252218a1083e,2022-07,Gwent Police,Gwent Police,-3.189309,51.690457,On or near LOWER JAMES STREET,W01001335,Caerphilly 005B,Investigation complete; no suspect identified
903757b67fea65a29ff72677bec345e936b24495fefb861d4e5d9398ddf2da39,2022-07,Gwent Police,Gwent Police,-2.715244,51.811736,On or near AGINCOURT STREET,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
ce74cf7f856c25c1396c4c244fa95a317b1d3573ade4316685cc0ae0136d3ca4,2022-07,Gwent Police,Gwent Police,-2.998418,51.582053,On or near DEWSLAND PARK ROAD,W01001686,Newport 014C,Investigation complete; no suspect identified
ea85df3d54a2ea1b3dbd0a2ffdb8ab47e7b8546efebe3f5d60f42b7a1dced702,2022-07,Gwent Police,Gwent Police,-3.023849,51.662902,On or near PARKLANDS CLOSE,W01001520,Torfaen 007B,Investigation complete; no suspect identified
031153e685467843db35e8d72fc49f3e686ffa675edde521cde7a2164dae940f,2022-07,Gwent Police,Gwent Police,-3.017765,51.821590,On or near CROSS STREET,W01001579,Monmouthshire 001E,Investigation complete; no suspect identified
06a7c9f1fdd626510509c634efcf14764c629e7357ca24e34333c8eacbf2a1a5,2022-07,Gwent Police,Gwent Police,-2.984448,51.722133,On or near TY GWYN ROAD,W01001556,Monmouthshire 006B,Investigation complete; no suspect identified
