Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0af940aab0ae68e3767170c07c94bb08325daf6ef5536ccacfdb83a409d560a3,2022-09,Gwent Police,Gwent Police,,,No location,,,Local resolution
d74662a7fa5414d4ccfcdab825c10c3da79b2928eb3cd38b90208e54d853f4ed,2022-09,Gwent Police,Gwent Police,-2.981547,51.600817,On or near Oak Street,W01001680,Newport 007E,Investigation complete; no suspect identified
5bb0450586dc5bdeccd13aa5a57a54f471b28b1605b8e35971c695ccdafa7582,2022-09,Gwent Police,Gwent Police,-3.014595,51.614967,On or near BAIRD CLOSE,W01001652,Newport 002B,Investigation complete; no suspect identified
a1dd8bcc35a648db52d9e85981ccc1d6f6f96a54c1a95379d7faa3eaa73f5f7d,2022-09,Gwent Police,Gwent Police,-2.710881,51.815619,On or near MONKSWELL CLOSE,W01001554,Monmouthshire 004C,Investigation complete; no suspect identified
1e05ca7b313628c356737769a449ac2f679929d1554409353fd48311d21aebf7,2022-09,Gwent Police,Gwent Police,-2.979764,51.589754,On or near Probert Place,W01001692,Newport 011E,Investigation complete; no suspect identified
d92428649571b48dfbf64b8e2c37bb3c3b3bda7deb1f40b2b4ca2d08b32e5a56,2022-09,Gwent Police,Gwent Police,-2.996072,51.572312,On or near ,W01001660,Newport 018B,Investigation complete; no suspect identified
c6458c9e807b0f8ccf54f0ae60d62885c77f742eb921dcfd87966be4c0c5893b,2022-09,Gwent Police,Gwent Police,-3.026114,51.612143,On or near Brookside,W01001622,Newport 003F,Investigation complete; no suspect identified
53e7ebb619825e488467b06435f30eaf4e96da8da0a1808f4a4e93d8307355a7,2022-09,Gwent Police,Gwent Police,-3.228000,51.799594,On or near Stonebridge Road,W01001470,Blaenau Gwent 001D,Investigation complete; no suspect identified
d5b6734b29c197d5a23d7018c32965441649d5d358219d4bda5fb3cb018d3c03,2022-09,Gwent Police,Gwent Police,-3.240863,51.591213,On or near Heol Fer,W01001400,Caerphilly 019F,Investigation complete; no suspect identified
6433b1b6a31b8eab4ffe04f5c02da7e5144683b74de74bf2242a15a3f96b5b4a,2022-09,Gwent Police,Gwent Police,-3.230974,51.687744,On or near Wood Street,W01001337,Caerphilly 004B,Investigation complete; no suspect identified
7dd126b7adb71c6a5f6f1a2a02d39b319c5eba1f107cc2b83d2a98fc2357be28,2022-09,Gwent Police,Gwent Police,-3.228209,51.681281,On or near Park Place,W01001362,Caerphilly 003C,Investigation complete; no suspect identified
5138f3564a04c3c1ebfde8b0bd1044401bce1cf02cb5ea25706e1a288ddf9aef,2022-09,Gwent Police,Gwent Police,-3.172500,51.613811,On or near ,W01001430,Caerphilly 015B,Investigation complete; no suspect identified
