Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3d4b680d069403c21c7bfb69174a90c373a5f3323a8a6e42843f643166c8bb62,2022-10,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
4560bb9dfbbc0fa552dd339b51ee0aaa4b1b73babc08a4834be5c311e7947d51,2022-10,Gwent Police,Gwent Police,-3.014149,51.832393,On or near Meadway,W01001558,Monmouthshire 002C,Investigation complete; no suspect identified
1b45674d7054b8b226088ccc9d46a1850a08376a3d5e0791867d61b39a708d48,2022-10,Gwent Police,Gwent Police,-3.010269,51.603576,On or near Blaen-Y-Pant Place,W01001682,Newport 006C,Investigation complete; no suspect identified
038f292883564f14aa7a50e0879d01966b3a1ee25892a7937958906d6f66827f,2022-10,Gwent Police,Gwent Police,-3.234571,51.636517,On or near ,W01001434,Caerphilly 013F,Investigation complete; no suspect identified
ecd9b919f9310ca872e5c5ab0262a38ab3aebfb6d1f752a3ba9fd332571f12c7,2022-10,Gwent Police,Gwent Police,-3.209818,51.782429,On or near Harcourt Street,W01001456,Blaenau Gwent 004C,Investigation complete; no suspect identified
07dc39ea08ca537dcab56c8480c317c3c50cf956eb898340fc004a0464b4b9d7,2022-10,Gwent Police,Gwent Police,-2.847564,51.550753,On or near Sea Street Lane,W01001649,Newport 004D,Investigation complete; no suspect identified
853ec2309801efbcc6521e5f7bfd2b1586e2c5e3f9ca51dc86355f5d6a5c7ff1,2022-10,Gwent Police,Gwent Police,-2.990628,51.591488,On or near ,W01001676,Newport 007B,Investigation complete; no suspect identified
1c41ec71ff132c5bf5d9aba745052a3d66fadad52a99dc3da599a695ed6d7ea0,2022-10,Gwent Police,Gwent Police,-3.203320,51.666721,On or near Parfitt Place,W01001348,Caerphilly 009A,Investigation complete; no suspect identified
91df4ba90a388a69800560b7627d407a17ab62504782a807f0844be8f5152bbc,2022-10,Gwent Police,Gwent Police,-3.025395,51.685277,On or near Oxford Street,W01001515,Torfaen 006B,Investigation complete; no suspect identified
fc78f5e50434cfb25911f310185af059d096d601281f649df1aab57c0a837918,2022-10,Gwent Police,Gwent Police,-2.993675,51.600130,On or near The Turnstiles,W01001683,Newport 006D,Investigation complete; no suspect identified
880da79ba3318f3de3aba8a1ef5235ec44dd59533983dfafcf740f3a69372a1a,2022-10,Gwent Police,Gwent Police,-3.089209,51.605999,On or near Islwyn Court,W01001408,Caerphilly 016B,Investigation complete; no suspect identified
9fd1deaf0d0252422d620c0e8ed58d562b536f72a649e15d014e715e1d78495b,2022-10,Gwent Police,Gwent Police,-2.999154,51.583377,On or near Clifton Road,W01001687,Newport 014D,Investigation complete; no suspect identified
1dad2548f43077341ab37040f2acdc16a224675384030a65542b5fca3377ff31,2022-10,Gwent Police,Gwent Police,-3.003902,51.689959,On or near Gloster's Parade,W01001511,Torfaen 005B,Investigation complete; no suspect identified
