Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a8912514922494a5acaa50c9a0a18ce7c7ae37d2fd03519e97e1c5c064bfbc13,2022-11,Gwent Police,Gwent Police,,,No location,,,Suspect charged
9394980828f91d7225f7e0398a0cef9d598d436e2b7e911098f172e7247a78a5,2022-11,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
244d3c00d7853d24f7f21b51f8cde0b2ede55fed8a06089a24e3945c4b78178f,2022-11,Gwent Police,Gwent Police,-2.979597,51.577985,On or near Alicia Crescent,W01001661,Newport 018C,Investigation complete; no suspect identified
50bb8b781269d297ce1679c19d0ca1e4bc7430a64687483d91ff9103098a2682,2022-11,Gwent Police,Gwent Police,-2.681713,51.642773,On or near Mount Way,W01001587,Monmouthshire 008C,Investigation complete; no suspect identified
ae7ffcacab27e12064c557e969c25b3e2884108dc21946b94cf31e86447f819c,2022-11,Gwent Police,Gwent Police,-2.766975,51.679717,On or near ,W01001549,Monmouthshire 007A,Investigation complete; no suspect identified
32da426cb7cc8cf4aefd5b185673078b9b97d6d18d248a329f67aacdbde027b9,2022-11,Gwent Police,Gwent Police,-3.228278,51.688114,On or near ,W01001338,Caerphilly 004C,Investigation complete; no suspect identified
9a286e8375796994c0fcfd74dd2a46dc9113e5bcd4a496c2cb1c545b0ee017cd,2022-11,Gwent Police,Gwent Police,-3.080022,51.602200,On or near Tyn-Y-Cwm Road,W01001413,Caerphilly 017C,Investigation complete; no suspect identified
c9ab53213ef50fc6f73b3eb5a365e4a8e937494d94eff8d0bba95d76a4461b5f,2022-11,Gwent Police,Gwent Police,-2.955069,51.609892,On or near High Street,W01001623,Newport 001A,Investigation complete; no suspect identified
df00804b254dbd825278b5d14ea2e241d586fdabe3909594053c3f057fbeeadd,2022-11,Gwent Police,Gwent Police,-2.761797,51.585464,On or near Betjeman Avenue,W01001598,Monmouthshire 010F,Investigation complete; no suspect identified
e7a2880a0a6b4ad8efc1f14625557fd8b22619b48b8de3d81e9c840f3087010d,2022-11,Gwent Police,Gwent Police,-3.228278,51.688114,On or near ,W01001338,Caerphilly 004C,Investigation complete; no suspect identified
2d2e966ae4527e80702ec77ba672dd485905bc85e138cdd1a677d129e103df9d,2022-11,Gwent Police,Gwent Police,-3.090135,51.774025,On or near Cilgant Cennard,W01001489,Torfaen 001C,Investigation complete; no suspect identified
763a7775a3c63329f345ce9234d849eb006b771276491900f75e95c53ed66796,2022-11,Gwent Police,Gwent Police,-2.987805,51.574482,On or near Pottery Road,W01001659,Newport 018A,Investigation complete; no suspect identified
