Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8f61cb4f1e556120622564363eb05d096729dd0ad827ab54cd25bfaf33aaa391,2022-12,Gwent Police,Gwent Police,,,No location,,,Unable to prosecute suspect
8ba190ded4153c2c39b02de1aba9c7fb28fddbff72ba8d8c7c57280bb0830964,2022-12,Gwent Police,Gwent Police,-3.043273,51.639928,On or near Willins,W01001492,Torfaen 012A,Investigation complete; no suspect identified
12d5d0ee43eb2613dc4b5d1fd0038c68bdb3237ec6aac5932b58c75d975cea10,2022-12,Gwent Police,Gwent Police,-2.985339,51.576561,On or near St Michaels Mews,W01001661,Newport 018C,Investigation complete; no suspect identified
60c386dde7efe8fc5b9d183580908ad548f222ad82feb0e306be1c567d4295d8,2022-12,Gwent Police,Gwent Police,-3.052362,51.708507,On or near Elled Road,W01001523,Torfaen 004C,Investigation complete; no suspect identified
ad9a080522177726b923e4c1665c9240db411575240623c05dfdc88841a1aaae,2022-12,Gwent Police,Gwent Police,-3.242656,51.584971,On or near Bowls Close,W01001395,Caerphilly 023C,Investigation complete; no suspect identified
f8f3df6bde87fb9d2d61f6dc6af58a83cd0fb598716f9e0f19eadc5139cc4ae7,2022-12,Gwent Police,Gwent Police,-2.984802,51.593102,On or near Gloster Street,W01001676,Newport 007B,Investigation complete; no suspect identified
42c012e439bfeb30c7445d1c18a6545f34ed5ad8c6e195eb743888b0084e8951,2022-12,Gwent Police,Gwent Police,-2.737527,51.808316,On or near Mid Summer Way,W01001553,Monmouthshire 004B,Investigation complete; no suspect identified
75fb75680f12c30f510bb396bf8cd36c3de38eff8203e435c11971023fb97ad0,2022-12,Gwent Police,Gwent Police,-3.016768,51.654709,On or near ,W01001506,Torfaen 010A,Investigation complete; no suspect identified
f8076724df255cb91685a5257c6dd9f3f714170de2ec7651107bba86015e28f3,2022-12,Gwent Police,Gwent Police,-2.992486,51.587327,On or near ,W01001687,Newport 014D,Investigation complete; no suspect identified
b2a08ea749722aadc94141aa087df1722235ce66d01ce67ebc66bc9aa4034cd6,2022-12,Gwent Police,Gwent Police,-3.289025,51.766536,On or near Warmington Place,W01001429,Caerphilly 001F,Investigation complete; no suspect identified
55d9a6bee21c8369fa1311b2b0be7457fb6ae9239c331064f3242180cad03348,2022-12,Gwent Police,Gwent Police,-3.010954,51.585011,On or near Ivy Road,W01001600,Newport 012A,Investigation complete; no suspect identified
075a2d4f2e73df1e336f138b99252ad72ad4238dc1badbb190993ded643dbec5,2022-12,Gwent Police,Gwent Police,-3.007400,51.616207,On or near ,W01001651,Newport 002A,Investigation complete; no suspect identified
3156e6c12f1a0c5ece746003b5a9916671e6857a67385b8dcb0abea5d52941f1,2022-12,Gwent Police,Gwent Police,-3.018350,51.645308,On or near Llantarnam Close,W01001506,Torfaen 010A,Investigation complete; no suspect identified
6877ebeec96bc86b4955f748763e90c2c5c1f55ae52879d29855e30f27fb0bff,2022-12,Gwent Police,Gwent Police,-3.211822,51.673737,On or near Tynycoed Crescent,W01001352,Caerphilly 007A,Investigation complete; no suspect identified
a612a1fa67a14b3bbd51438af97bccbf562715570c3895a6d2920025c4be8d89,2022-12,Gwent Police,Gwent Police,-3.006254,51.609446,On or near Malpas Road,W01001654,Newport 002D,Investigation complete; no suspect identified
ef5ee56fd70a2a0da91218ee528f80e050d211f2a36c81a31372c9f3ddd89d1a,2022-12,Gwent Police,Gwent Police,-2.995634,51.589387,On or near Market Street,W01001685,Newport 014B,Investigation complete; no suspect identified
5c6005275d87a48c4564c19b952dbc41cef9a400366c6e984993fac751e2c0a0,2022-12,Gwent Police,Gwent Police,-2.762687,51.589486,On or near Tennyson Road,W01001598,Monmouthshire 010F,Investigation complete; no suspect identified
2118f5ed1746c0dc1a68d2a6b567d20ea9c9f69fd76a7ae045b5e8ca6537270b,2022-12,Gwent Police,Gwent Police,-2.762687,51.589486,On or near Tennyson Road,W01001598,Monmouthshire 010F,Investigation complete; no suspect identified
8cfe3e8df3a5339795ad54691c1597598db6e0b61f3198c87be29850caf9b56c,2022-12,Gwent Police,Gwent Police,-2.839313,51.578839,On or near Salisbury Walk,W01001572,Monmouthshire 011A,Investigation complete; no suspect identified
6f08f1023009ba43c9b2c393f1c50cf9fbca1db7ff893fede3fe14de67c3c37a,2022-12,Gwent Police,Gwent Police,-3.005469,51.585023,On or near Caerau Road,W01001685,Newport 014B,Investigation complete; no suspect identified
60a328e5d7f82decf58ec2ee0760c581caa59f8c284732f291ec963a2d8b3aaf,2022-12,Gwent Police,Gwent Police,-3.277013,51.607775,On or near Windsor Place,W01001332,Caerphilly 018C,Investigation complete; no suspect identified
4167709ed3a3e7a738bcc220596b0e8a710abc4baf238556ade5ec85430a3f31,2022-12,Gwent Police,Gwent Police,-2.943025,51.576424,On or near Seven Stiles Avenue,W01001646,Newport 015E,Investigation complete; no suspect identified
62b1f4612ff33219ebefe16fca177d0f288d965a03fcbdf45877b1eb9dc19d5b,2022-12,Gwent Police,Gwent Police,-3.003184,51.586787,On or near Ford Street,W01001685,Newport 014B,Investigation complete; no suspect identified
